id,parent,focus,signal,slack,drag,confidence,score,lane,kind,invariant,mutation
m001,g001,schema drift,72,12,5,58,329,ship,baseline,monotonic-signal,raise-signal
m002,g002,lineage depth,53,4,28,91,261,ship,edge,drag-penalty,drop-slack
m003,g003,partition skew,52,19,48,53,137,watch,recovery,confidence-floor,raise-drag
m004,g004,quality gap,99,23,28,84,404,ship,negative,lane-boundary,lower-confidence
m005,g005,schema drift,91,63,23,38,343,ship,baseline,monotonic-signal,raise-signal
m006,g006,lineage depth,77,39,22,99,402,ship,edge,drag-penalty,drop-slack
m007,g007,partition skew,34,11,51,48,56,hold,recovery,confidence-floor,raise-drag
m008,g008,quality gap,60,64,15,14,227,ship,negative,lane-boundary,lower-confidence
m009,g009,schema drift,85,23,44,64,274,ship,baseline,monotonic-signal,raise-signal
m010,g010,lineage depth,44,29,18,44,195,ship,edge,drag-penalty,drop-slack
m011,g011,partition skew,75,51,34,38,250,ship,recovery,confidence-floor,raise-drag
m012,g012,quality gap,50,24,12,27,192,ship,negative,lane-boundary,lower-confidence
m013,g013,schema drift,50,48,15,45,243,ship,baseline,monotonic-signal,raise-signal
m014,g014,lineage depth,40,52,9,52,249,ship,edge,drag-penalty,drop-slack
m015,g015,partition skew,87,38,15,103,460,ship,recovery,confidence-floor,raise-drag
m016,g016,quality gap,114,28,9,77,497,ship,negative,lane-boundary,lower-confidence
m017,g017,schema drift,96,25,32,45,307,ship,baseline,monotonic-signal,raise-signal
m018,g018,lineage depth,77,15,45,70,251,ship,edge,drag-penalty,drop-slack
m019,g019,partition skew,32,64,39,87,217,ship,recovery,confidence-floor,raise-drag
m020,g020,quality gap,57,16,6,44,257,ship,negative,lane-boundary,lower-confidence
m021,g021,schema drift,82,64,36,90,382,ship,baseline,monotonic-signal,raise-signal
m022,g022,lineage depth,84,45,32,52,305,ship,edge,drag-penalty,drop-slack
m023,g023,partition skew,93,54,38,96,411,ship,recovery,confidence-floor,raise-drag
m024,g024,quality gap,57,21,32,24,144,watch,negative,lane-boundary,lower-confidence
m025,g025,schema drift,52,47,13,98,360,ship,baseline,monotonic-signal,raise-signal
m026,g026,lineage depth,39,46,26,47,179,ship,edge,drag-penalty,drop-slack
m027,g027,partition skew,85,30,20,26,277,ship,recovery,confidence-floor,raise-drag
m028,g028,quality gap,67,19,8,50,296,ship,negative,lane-boundary,lower-confidence
m029,g029,schema drift,71,16,7,43,294,ship,baseline,monotonic-signal,raise-signal
m030,g030,lineage depth,107,6,29,37,314,ship,edge,drag-penalty,drop-slack
m031,g031,partition skew,45,20,49,39,86,hold,recovery,confidence-floor,raise-drag
m032,g032,quality gap,104,24,29,31,311,ship,negative,lane-boundary,lower-confidence
m033,g033,schema drift,103,28,45,51,304,ship,baseline,monotonic-signal,raise-signal
m034,g034,lineage depth,93,57,12,102,504,ship,edge,drag-penalty,drop-slack
m035,g035,partition skew,52,55,46,89,251,ship,recovery,confidence-floor,raise-drag
m036,g036,quality gap,35,16,42,31,57,hold,negative,lane-boundary,lower-confidence
m037,g037,schema drift,39,69,36,69,216,ship,baseline,monotonic-signal,raise-signal
m038,g038,lineage depth,75,17,35,86,309,ship,edge,drag-penalty,drop-slack
m039,g039,partition skew,101,45,43,56,331,ship,recovery,confidence-floor,raise-drag
m040,g040,quality gap,117,56,17,76,508,ship,negative,lane-boundary,lower-confidence
m041,g041,schema drift,94,29,30,51,323,ship,baseline,monotonic-signal,raise-signal
m042,g042,lineage depth,116,42,17,95,529,ship,edge,drag-penalty,drop-slack
m043,g043,partition skew,91,68,40,36,293,ship,recovery,confidence-floor,raise-drag
m044,g044,quality gap,82,43,21,84,394,ship,negative,lane-boundary,lower-confidence
m045,g045,schema drift,90,33,17,46,344,ship,baseline,monotonic-signal,raise-signal
m046,g046,lineage depth,40,19,16,25,141,watch,edge,drag-penalty,drop-slack
m047,g047,partition skew,67,31,24,62,284,ship,recovery,confidence-floor,raise-drag
m048,g048,quality gap,40,69,40,29,127,hold,negative,lane-boundary,lower-confidence
m049,g049,schema drift,39,21,11,36,177,ship,baseline,monotonic-signal,raise-signal
m050,g050,lineage depth,73,58,40,38,233,ship,edge,drag-penalty,drop-slack
m051,g051,partition skew,98,61,42,43,315,ship,recovery,confidence-floor,raise-drag
m052,g052,quality gap,114,59,34,37,373,ship,negative,lane-boundary,lower-confidence
m053,g053,schema drift,46,26,14,101,324,ship,baseline,monotonic-signal,raise-signal
m054,g054,lineage depth,46,41,27,88,274,ship,edge,drag-penalty,drop-slack
m055,g055,partition skew,98,62,21,43,379,ship,recovery,confidence-floor,raise-drag
m056,g056,quality gap,84,35,30,55,307,ship,negative,lane-boundary,lower-confidence
m057,g057,schema drift,89,24,39,85,344,ship,baseline,monotonic-signal,raise-signal
m058,g058,lineage depth,38,10,24,55,162,watch,edge,drag-penalty,drop-slack
m059,g059,partition skew,108,22,34,88,420,ship,recovery,confidence-floor,raise-drag
m060,g060,quality gap,103,25,21,37,345,ship,negative,lane-boundary,lower-confidence
m061,g061,schema drift,69,29,20,94,364,ship,baseline,monotonic-signal,raise-signal
m062,g062,lineage depth,86,22,21,35,287,ship,edge,drag-penalty,drop-slack
m063,g063,partition skew,57,73,51,96,283,ship,recovery,confidence-floor,raise-drag
m064,g064,quality gap,47,60,15,32,220,ship,negative,lane-boundary,lower-confidence
m065,g065,schema drift,55,21,44,24,102,hold,baseline,monotonic-signal,raise-signal
m066,g066,lineage depth,93,63,18,61,410,ship,edge,drag-penalty,drop-slack
m067,g067,partition skew,76,33,13,41,304,ship,recovery,confidence-floor,raise-drag
m068,g068,quality gap,71,50,44,22,175,watch,negative,lane-boundary,lower-confidence
m069,g069,schema drift,125,61,43,37,381,ship,baseline,monotonic-signal,raise-signal
m070,g070,lineage depth,54,23,44,42,137,watch,edge,drag-penalty,drop-slack
m071,g071,partition skew,70,58,32,49,270,ship,recovery,confidence-floor,raise-drag
m072,g072,quality gap,38,73,38,87,247,ship,negative,lane-boundary,lower-confidence
m073,g073,schema drift,78,48,25,87,381,ship,baseline,monotonic-signal,raise-signal
m074,g074,lineage depth,44,27,20,42,183,ship,edge,drag-penalty,drop-slack
m075,g075,partition skew,35,35,26,67,196,ship,recovery,confidence-floor,raise-drag
m076,g076,quality gap,34,36,41,71,157,watch,negative,lane-boundary,lower-confidence
m077,g077,schema drift,90,74,12,54,416,ship,baseline,monotonic-signal,raise-signal
m078,g078,lineage depth,108,15,41,87,390,ship,edge,drag-penalty,drop-slack
m079,g079,partition skew,81,74,22,49,349,ship,recovery,confidence-floor,raise-drag
m080,g080,quality gap,71,66,24,80,367,ship,negative,lane-boundary,lower-confidence
m081,g081,schema drift,123,64,9,34,474,ship,baseline,monotonic-signal,raise-signal
m082,g082,lineage depth,51,20,12,95,327,ship,edge,drag-penalty,drop-slack
m083,g083,partition skew,67,57,13,44,307,ship,recovery,confidence-floor,raise-drag
m084,g084,quality gap,78,67,5,10,306,ship,negative,lane-boundary,lower-confidence
m085,g085,schema drift,96,40,6,60,430,ship,baseline,monotonic-signal,raise-signal
m086,g086,lineage depth,51,18,29,40,164,watch,edge,drag-penalty,drop-slack
m087,g087,partition skew,37,26,49,34,58,hold,recovery,confidence-floor,raise-drag
m088,g088,quality gap,33,27,29,23,85,hold,negative,lane-boundary,lower-confidence
m089,g089,schema drift,88,30,45,41,241,ship,baseline,monotonic-signal,raise-signal
m090,g090,lineage depth,61,23,33,48,203,ship,edge,drag-penalty,drop-slack
m091,g091,partition skew,56,38,36,99,296,ship,recovery,confidence-floor,raise-drag
m092,g092,quality gap,101,8,28,73,373,ship,negative,lane-boundary,lower-confidence
m093,g093,schema drift,48,65,29,41,204,ship,baseline,monotonic-signal,raise-signal
m094,g094,lineage depth,98,15,10,66,411,ship,edge,drag-penalty,drop-slack
m095,g095,partition skew,88,9,30,83,349,ship,recovery,confidence-floor,raise-drag
m096,g096,quality gap,87,38,10,40,349,ship,negative,lane-boundary,lower-confidence
