id,focus,signal,slack,drag,confidence,score,lane
l001,lineage depth,35,33,6,25,170,watch
l002,partition skew,35,34,6,55,231,ship
l003,quality gap,35,35,6,85,292,ship
l004,schema drift,35,36,18,25,137,watch
l005,lineage depth,35,37,18,55,198,ship
l006,partition skew,35,38,18,85,259,ship
l007,quality gap,35,39,34,25,92,hold
l008,schema drift,35,40,34,55,153,watch
l009,lineage depth,35,41,34,85,214,ship
l010,partition skew,60,42,6,25,254,ship
l011,quality gap,60,43,6,55,315,ship
l012,schema drift,60,44,6,85,376,ship
l013,lineage depth,60,45,18,25,221,ship
l014,partition skew,60,46,18,55,282,ship
l015,quality gap,60,47,18,85,343,ship
l016,schema drift,60,48,34,25,176,watch
l017,lineage depth,60,32,34,55,220,ship
l018,partition skew,60,33,34,85,281,ship
l019,quality gap,85,34,6,25,321,ship
l020,schema drift,85,35,6,55,382,ship
l021,lineage depth,85,36,6,85,443,ship
l022,partition skew,85,37,18,25,288,ship
l023,quality gap,85,38,18,55,349,ship
l024,schema drift,85,39,18,85,410,ship
l025,lineage depth,85,40,34,25,243,ship
l026,partition skew,85,41,34,55,304,ship
l027,quality gap,85,42,34,85,365,ship
